timestamp_utc,event,detail
2026-01-27T18:04:25.834399,ALERT_PARTIAL_FACE,"bbox_w=0.214, edge=False"
2026-01-27T18:04:44.849942,ALERT_NO_FACE,duration=2.1s
2026-01-27T18:04:46.814780,ALERT_PARTIAL_FACE,"bbox_w=0.154, edge=False"
2026-02-09T18:00:38.817444,SERVER_STARTED,Modular backend server initialized
2026-02-09T18:01:55.387645,QUESTIONS_GENERATED,"session=ae757801-a139-41e7-b364-0f0614d13ff2, count=31"
2026-02-09T18:02:03.905324,MONITORING_STARTED,session_id=ae757801-a139-41e7-b364-0f0614d13ff2
2026-02-09T18:02:03.907323,MONITORING_STARTED,session_id=ae757801-a139-41e7-b364-0f0614d13ff2
2026-02-09T18:02:05.965495,ALERT_PARTIAL_FACE,"bbox_w=0.204, edge=False"
2026-02-09T18:02:08.083968,MONITORING_STOPPED,User stopped monitoring
2026-02-18T11:49:55.657147,SERVER_STARTED,Modular backend server initialized
2026-02-18T11:51:05.503922,QUESTIONS_GENERATED,"session=1c36f70e-b134-427f-b395-c2000351fb22, count=31"
2026-02-18T11:51:22.802876,MONITORING_STARTED,session_id=1c36f70e-b134-427f-b395-c2000351fb22
2026-02-18T11:51:24.971118,ALERT_PARTIAL_FACE,"bbox_w=0.157, edge=True"
2026-02-18T11:51:30.169057,ALERT_NO_FACE,duration=2.3s
2026-02-18T11:51:34.919042,ALERT_PARTIAL_FACE,"bbox_w=0.189, edge=True"
2026-02-18T11:51:45.714864,MONITORING_STOPPED,User stopped monitoring
